id,name,country,country_codes,iso,severity,population,latitude,longitude,description,french_name,spanish_name
755,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,2000000,-16.5835,-68.3020,"Departamentos  de Puno,  Moquegua y Tacna, en el Perú. Area del lago Titicaca, donde se  incluye también el Altiplano boliviano. In Bolivia: departments of La Paz, Oruro, Potosí and Cochabamba.In Chile: Province of Tarapacá (interior of Arica, Iquique).",aymara,aymara
349,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,2000000,44.1270,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino",émilien-romagnol,emiliano
399,Piedmontese,Italy,ITA,pms,Definitely endangered,2000000,45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas",piémontais,piamontés
1021,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,2000000,45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia",vénitien,veneciano
1985,Zazaki,Turkey,TUR,zza,Vulnerable,2000000,38.8824,40.4846,"Tunceli, Erzincan, Elazığ and Bingöl provinces, Hınıs district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muş Province, Sarız district of Kayseri Province, the northern and western parts of Diyarbakır Province, Siverek district of Şanlıurfa Province as well as small areas in adjacent provinces. Many immigrants in Europe.",zazaki,zaza
1591,Kurux (India),India,IND,kru,Vulnerable,1751489,22.1467,85.2758,Jharkhand and Bihar,kurux (Inde),kuruj (India)
2065,Tamajeq,Niger,NER,thz,Vulnerable,1750000,17.2352,8.0859,,tamajeq,tamacheq tahoua
1585,Tulu,India,IND,tcy,Vulnerable,1722768,12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala",tulu,tulú
1556,Kangdi,India,IND,xnr,Definitely endangered,1700000,32.4356,76.1242,Himachal Pradesh,Kangdi,kangdi
410,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,1500000,56.2189,-3.7683,Lowland Scotland and adjacent parts of England; émigré communities in Ireland,scots,escocés
1026,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,1500000,42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraşova in Caraş-Severin County in the Romanian Banat",torlak,torlak
1476,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,1500000,51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered",flamand occidental,flamenco occidental
334,Bashkir,Russian Federation,RUS,bak,Vulnerable,1379727,54.7309,55.9863,the Republic of Bashkortostan and adjacent regions,bachkir,baskir
1067,Chechen,Russian Federation,RUS,che,Vulnerable,1331844,43.1971,45.7031,the Republic of Chechenia and adjacent regions,tchétchène,checheno
338,Chuvash,Russian Federation,RUS,chv,Vulnerable,1325382,56.1394,47.2412,Chuvash Republic and adjacent regions,tchouvache,chuvacho
1227,Meithei,India,IND,mni,Vulnerable,1250000,24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)",meitei,mitei
1114,Tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,1196639,27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. Bāgmatī, Nārāyaṇī and Janakpur zones, in Kābhrepālañcok, Makvānpur, SIndhupālcok, Nuvākoṭ, Dhādiṅ, Sindhulī, Rāmechāp, Bagmatī, Dolakhā and Rasuvā districts. Also found in India (Sikkim).",tamang,tamang
1013,Quechua of Cuzco,Peru,PER,quz,Vulnerable,1115000,-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurímac (Abancay), Moquegua (Ubinas).",quechua de Cuzco,quechua cuzqueño
1024,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,1000000,48.8068,21.7968,"Spiš, Šariš, Zemplín and Abov regions in eastern Slovakia; a regional language not recognized by the SIL",slovaque oriental,eslovaco oriental
377,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,1000000,44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Sant’Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France",ligurien,ligur
407,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,1000000,48.4437,22.9394,Trans-Carpathian region of Ukraine,ruthène,rutenio
1515,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,1000000,38.8140,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan",talysh,talisí
1577,Kui,India,IND,kxu,Vulnerable,916222,19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh",kui,kui
1231,Khasi,India,IND,kha,Vulnerable,912000,25.6910,91.8676,eastern half of Meghalaya,khasi,jasí
1229,Bodo,India,IND,brx,Vulnerable,900000,26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts",bodo,bodo
337,Campidanese,Italy,ITA,sro,Definitely endangered,900000,39.2991,8.9868,southern Sardinia,campidanien,sardo campidanés
1803,K'iche' (Guatemala),Guatemala,GTM,quc,Vulnerable,890596,15.0309,-91.1485,"Among the localities listed in the Ethnologue: El Quiché dept., Quetzaltenango, Cunén, Chichicastenango, Joyabaj, San Andrés Sajeabajá, Atitlán in Quetzaltenango dept.; Totinicapán dept, Santa Cruz Quiché",k’iche' (Guatemala),quiché (Guatemala)
989,Quechua of Ayacucho,Peru,PER,quy,Definitely endangered,850000,-13.1276,-74.2071,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa.",quechua d'Ayacucho,quechua de Ayacucho
1117,Newar,Nepal,NPL,new,Definitely endangered,825458,27.6981,85.3198,Kathmandu valley,newar,nevarí
2222,Mon,"Myanmar, Thailand","MMR, THA",mnw,Vulnerable,800000,16.4666,97.7833,,môn,mon
1523,Polesian,"Belarus, Poland, Ukraine","BRB, POL, UKR",,Vulnerable,800000,51.8629,23.9501,"the south-west of Belarus, the north-west of the Ukraine and adjacent Poland; a regional language not recognized by the SIL",polésien,polesio
701,Tamaceq,Mali,MLI,taq,Definitely endangered,800000,16.7992,-3.0102,"Central, and northeast Mali, Kidal, Tombouctou areas. 
Also spoken in Algeria, Burkina Faso",tamaceq,tamacheq tahoua
1069,Avar,Russian Federation,RUS,ava,Vulnerable,784840,42.4801,46.8017,parts of the Republic of Daghestan,avar,avar
1211,Mundari,India,IND,muw,Vulnerable,750000,22.3297,86.0449,"Jharkhand, mainly in  Ranchi Dt.; some speakers in Madhya Pradesh",mundari,mundarí
425,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,cym,Vulnerable,750000,52.4459,-3.5485,Wales and adjacent parts of England; émigré communities in Patagonia,gallois,galés
1202,Angika,"India, Nepal","IND, NPL",anp,Vulnerable,740892,24.7451,85.3124,Bihar and Jharkhand,angika,anga
1827,Q'eqchi' (Guatemala),Guatemala,GTM,kek,Vulnerable,716101,15.4707,-90.3722,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston",q’eqchi' (Guatemala),cachí (Guatemala)
398,Picard,"Belgium, France","BEL, FRA",pcd,Severely endangered,700000,50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium",picard,picardo
1228,Kokborok,"Bangladesh, India","BGD, IND",trp,Vulnerable,695000,23.7752,91.6918,"Triupura, and Karimjang Dt. of Assam",kokborok,kok borok
415,Basque,"Spain, France","ESP, FRA",eus,Vulnerable,660000,43.1330,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France",basque,euskera
1065,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,650000,43.7393,43.4289,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East,kabarde-tcherkesse,kabardái
1559,Mandeali,India,IND,mjl,Definitely endangered,611930,31.4099,76.9921,Himachal Pradesh,mandeali,mandeali
353,Friulian,Italy,ITA,fur,Definitely endangered,600000,46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere",frioulan,friulano
997,Quechua of Ancash and Huánuco,Peru,PER,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,600000,-9.4598,-77.1789,"Zona central del Perú, departamentos de  Ancash Y Huánuco.",quechua d'Ancash et Huánuco,quechua de Ancash y de Huánuco
1947,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",wln,Definitely endangered,600000,50.4575,4.8559,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s",wallon,valón
1091,Mising,India,IND,mrg,Definitely endangered,550000,26.9612,94.0539,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh",mising,mising
1066,Ossete,"Georgia, Russian Federation","GEO, RUS",oss,Vulnerable,550000,42.9564,44.4946,North Ossetia and South Ossetia,ossète,osético
1230,Mizo,India,IND,lus,Vulnerable,529000,22.9988,92.9223,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma",mizo,lushai
1070,Dargwa,Russian Federation,RUS,dar,Vulnerable,503523,42.1145,47.4938,parts of the Republic of Daghestan,dargwa,dargínico
1424,Santa,China,CHN,sce,Vulnerable,360000,35.5411,102.7935,"Dongxiang Autonomous County of Linxia Hui Autonomous Prefecture, Gansu Province; also émigré communities elsewhere in Gansu and in Sinkiang (Xinjiang)",dongxiang,santa
1057,Mingrelian,Georgia,GEO,xmf,Definitely endangered,350000,42.4599,41.7205,western lowlands of Georgia,mingrélien,mingrelio
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,500000,40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania",aroumain,arrumano
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable,500000,29.0369,66.5826,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran",brahui,birahuí
375,Languedocian,France,FRA,oci,Severely endangered,500000,43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds",languedocien,languedociano
1072,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",lez,Vulnerable,500000,41.4921,48.0541,southern Daghestan in the Russian Federation; northern Azerbaijan,lezghien,lezguio
1558,Mahasui,India,IND,bfz,Definitely endangered,496024,31.2738,77.1295,Himachal Pradesh,mahasui,paharí mahasu
1118,Magar,Nepal,NPL,"mgp, mrd",Definitely endangered,489383,28.0816,83.4301,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts.",magar,magarí
1822,Mam (Guatemala),Guatemala,GTM,,Vulnerable,477717,14.9305,-91.9078,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco",mam (Guatemala),mam (Guatemala)
418,Udmurt,Russian Federation,RUS,udm,Definitely endangered,463837,57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces",oudmourte,votiaco
1506,Huasteca Náhuatl,Mexico,MEX,nhe,Vulnerable,463183,21.3835,-98.9902,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo",náhuatl du Huasteca,nahua de la Huasteca
1074,Kumyk,Russian Federation,RUS,kum,Vulnerable,458121,43.3970,46.9775,parts of the Republic of Daghestan,koumyk,kumyko
508,Yakut,Russian Federation,RUS,sah,Vulnerable,456288,62.3496,130.8691,the Republic of Sakha (Yakutia),yakoute,yakuto
1801,Kaqchikel (Guatemala),Guatemala,GTM,,Vulnerable,444954,14.7814,-90.7925,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá",kaqchikel (Guatemala),cachiquel (Guatemala)
1165,Karbi,India,IND,mjw,Vulnerable,420000,26.2934,93.2299,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur.",karbi,miquirés
347,Eastern Mari,Russian Federation,RUS,mhr,Definitely endangered,414211,56.6320,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces",mari oriental,marí oriental
1068,Ingush,Russian Federation,RUS,inh,Vulnerable,405343,43.1450,45.1043,the Republic of Ingushetia and adjecent regions,ingouche,inguso
350,Erzya,Russian Federation,RUS,myv,Definitely endangered,400000,54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan",erzya,mordovo erzya
1212,Ho,India,IND,hoc,Vulnerable,400000,21.6370,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal.",ho,ho
2165,Judezmo (Israel),Israel,ISR,lad,Severely endangered,400000,32.0872,34.7737,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)",judéo-espagnol (Israël),sefardí (Israel)
534,Lalo,China,CHN,"yik, ywt, yit, ywl",Vulnerable,400000,25.3830,99.9426,,lalo,lalo
378,Limousin,France,FRA,oci,Severely endangered,400000,46.0579,1.8017,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds",limousin,lemosín
381,Logudorese,Italy,ITA,src,Definitely endangered,400000,40.1116,9.1845,central Sardinia,logoudorien,sardo logudorés
626,Mapuche (Chile),Chile,CHL,arn,Definitely endangered,400000,-38.5653,-73.0810,"Región La Araucanía (provinces of Cautín and Malleco). Provinces of Arauco, Bío-Bío and Valdivia. Dispersed areas in Argentina: Neuquén, Chubut, La Pampa, Buenos Aires.",mapuche  (Chile),mapuche (Chile)
1503,Central Náhuatl,Mexico,MEX,"nhn, nch, ncx",Vulnerable,395581,19.1910,-99.0236,"Locality of Milpa Alta and others with few remaining speakers in the south of the Distrito Federal; several municipalities in the state of Mexico such as Tianguistenco, Jalatlaco, Coyotepec and Huehuetoca; municipalities of Chiautempan, Mazatecocho, Contla and othes in the state of Tlaxcala; several municipalities in the state of Puebla such as Atlixco and Huejotzingo;  in the state of Hidalgo, municipalities such as Acaxochitlán and Pahuatlán; in the state of Veracruz, several municipalities such as Rafael Delgado and Zongolica; municipality of Teotitlán and others in the state of Oaxaca",náhuatl central,nahua central
424,Moselle Franconian,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",ltz,Vulnerable,390000,49.6071,6.1248,Luxembourg and adjacent regions of neighbouring countries,francique mosellan,franconio del Mosela
964,Bantawa,Nepal,NPL,bap,Vulnerable,371056,27.0994,87.0048,"Bhojur district in Nepal.
Bantawa Rai that migrated to Sikkim, India, can be mainly found in the West District (Youksom, Tashiding, Geyzing, Dentam, Rinchenpong, Soreng, Jorthang), South District (Ralong, Damthang, Namchi, Temi, Tarku, Melli) and in the East District (Gangtok, Badong, Rumtek, Pakyong, Rehnok, Regu, Rolep Assam Lingjey).",bantawa,bantawa
1131,Chang,India,IND,nbc,Vulnerable,62000,26.2934,94.9493,Tuensang Dt.,chang,chang
426,West Frisian,Netherlands,NLD,fry,Vulnerable,350000,53.1006,5.6579,the province of Friesland and the western parts of the province of Groningen,frison occidental,frisón occidental
1113,Gurung,Nepal,NPL,"ggn, gvr",Definitely endangered,338925,28.2750,84.1782,"Gorkhā , Kāskī, Lamjuṅ , Parbat, Syāṅjā, Tanahũ and Dhādiṅ districts",gurung,gurung
295,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",guc,Vulnerable,318500,11.8673,-71.9824,,guajiro,guajiro
1075,Karachay-Balkar,Russian Federation,RUS,krc,Vulnerable,302748,44.2137,42.8466,parts of the Karachay-Cherkes Republic and the Kabard-Balkar Republic,karatchaï-balkar,karachay-balkar
1064,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",ady,Vulnerable,300000,44.9181,39.7485,"the Republic of Adygea and adjacent regions in the Russian Federation and many diaspora communities in Turkey, the Middle East and Western Europe",adyguéen,adiga
469,Buryat (Trans-Baikal),Russian Federation,RUS,"bxm, bxr, bxu",Definitely endangered,300000,50.8336,109.5117,the Republic of Buryatia and Aga (Aginskiy) Buryat Autonomous District and elsewhere in Chita Province,bouriate (Transbaïkalie),buriato (transbaikálico)
1574,Kurru,India,IND,yeu,Definitely endangered,300000,16.6151,81.6284,"Tamil Nadu, Andhra Pradesh and Karnataka",kurru,yerukala
1578,Kuvi,India,IND,kxv,Definitely endangered,300000,18.9478,83.5839,"Orissa (Koraput, Kalahandi, Ganjam, and Phulbani) and Andhra Pradesh",kouvi,kuvi
1028,Limbu,"India, Nepal","IND, NPL",lif,Definitely endangered,300000,27.0960,87.7356,"Eastern Nepal, India. Tehrathum, Ilām, Pāñcthar, Tāplejuṅ, Dhankuṭā districs.",limbu,limbu
2452,Moroccan Judeo-Arabic (Israel),Israel,ISR,aju,Definitely endangered,300000,32.0476,34.7552,Tel Aviv,judéo-arabe du Maroc (Israël),judeo-árabe marroquí (Israel)
401,Plautdietsch,Ukraine,UKR,pdt,Definitely endangered,300000,47.0738,35.5545,originally Khortytsya and Molochna near Zaporizhzhya; émigré communities in other parts of the Ukraine and in what is now withing the Russian Federation and further in the Americas; last speakers in the Ukraine were deported during the Second World War to Central Asia and Siberia; many speakers have recently emigrated to Germany; an outlying dialect of Low Saxon,plautdietsch,bajo alemán
1078,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",pnt,Definitely endangered,300000,40.8470,40.0149,"originally along the Black Sea coast of Turkey and adjacent Georgia; some speakers remain in the towns of Of and Sürmene, but most have emigrated to Greece; émigré communities also in southern Russia and the Caucasus; an outlying dialect of Greek",grec pontique,póntico
1935,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,300000,-1.8673,-78.9257,"Provinces of: Cotopaxi, Tungurahua (Southwest of the Province), Bolivar (Central Highlands), Chimborazo, counties of Riobamba, Colta, Guamote, Chambo, Guano, Pallatanga, Penipe and Cumandá","quichua (Cotopaxi, Tungurahua et Chimborazo)",quichua (sierra central)
1479,Waxiang,China,CHN,wxa,Vulnerable,300000,28.5652,110.3576,western Hunan,waxiang,vasianhuá
1434,Oyrat,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",xal,Definitely endangered,280000,46.1950,88.7255,"the Kobdo and Ubsu aimaks of Mongolia; Bortala, Hoboksar, Tarbagatai and Bayangol regions in northern Sinkiang, Kukunor region in Qinghai Province and Alashan (Alshan) League in western lnner Mongolia, China; Chelpek and Boru Bashi, east of lssyk Köl, Kyrgyzstan",oïrat,oirato
1563,Garhwali,India,IND,gbm,Vulnerable,279500,30.0976,79.1235,"Uttarakhand, in Garhwal area",garhwali,garhwali
1380,Bade,Nigeria,NGA,bde,Vulnerable,250000,12.8010,11.1181,,bade,badé
336,Breton,France,FRA,bre,Severely endangered,250000,48.2246,-3.9331,western Brittany; many émigré communities,breton,bretón
352,Gascon,"Spain, France","ESP, FRA",oci,Definitely endangered,250000,43.1811,-0.1428,"the departments of Landes, Gers, and Hautes-Pyrénées, the eastern parts of Pyrénées-Atlantiques, the western parts of Haute-Garonne and Ariège, and the southern and western parts of Gironde, France; the Aran Valley, northwestern Catalonia, Spain; the original ISO code [gsc] for Gascon has been retired on false grounds",gascon,gascón
2245,Phula (China),China,CHN,"ypa, ypg, ypo, yip, ypn, yhl, ypb, phh, ypm, ypp, yph, ypz",Vulnerable,250000,22.6001,104.0004,,phula (Chine),pula (China)
1205,Sora,India,IND,srb,Vulnerable,250000,19.1244,83.2104,"Orissa, mainly Ganjam Dt., but also Koraput and Phulbani districts. Parts of Andhra Pradesh.",sora,sora
1119,Konyak,India,IND,nbe,Vulnerable,248000,26.9367,95.1745,"Nagaland, Mon and Tuensang districts.",konyak,coñac
1130,Ao,India,IND,ngo,Vulnerable,243000,26.4361,94.6472,Wokho and parts of Mokokchung districts,ao,ao
1234,Tuvan,"China, Mongolia, Russian Federation","CHN, MNG, RUS",tyv,Vulnerable,242754,51.7134,94.3945,the Republic of Tuva in the Russian Federation and adjacent regions in China and Mongolia,touvain,tuva
1970,Nafusi,Libyan Arab Jamahiriya,LBY,jbn,Severely endangered,240000,32.6393,13.4252,"Language spoken in the regions of Tripolitania, western Libya, isolated area around the towns of Nalut and Yafran, Jabal Nafusah Region, coastal area around Zuara, west of Tripoli.",nefousi,jabal nafusah
2232,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR","aii, cld",Definitely endangered,240000,36.4477,43.2971,"Iraqi Kurdistan, western Iranian Azerbaijan and Kurdistan, northeast Syria near the Turkish border.  Extinct in Turkey.  A large number of speakers are in diaspora in Europe, North and South America, and Australia.",soureth,neo-arameo oriental
1592,Malto,India,IND,kmj,Definitely endangered,224926,23.7853,85.4736,"Jharkhand (Godda, Santhal Pargana), Bihar and West Bengal (Bankura, Barddhaman, and Murshidabad), and also in Orissa (Mayurbhanj)",malto,malto
