AFG,Afghanistan,South Asia,Low income,Kabul,69.1761,34.5228
MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,Nouakchott,-15.9824,18.2367
CAF,Central African Republic,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056
ITA,Italy,Europe & Central Asia,High income,Rome,12.4823,41.8955
PAK,Pakistan,South Asia,Lower middle income,Islamabad,72.8,30.5167
GUY,Guyana,Latin America & Caribbean ,Upper middle income,Georgetown,-58.1548,6.80461
OMN,Oman,Middle East & North Africa,High income,Muscat,58.5874,23.6105
PYF,French Polynesia,East Asia & Pacific,High income,Papeete,-149.57,-17.535
GRC,Greece,Europe & Central Asia,High income,Athens,23.7166,37.9792
LKA,Sri Lanka,South Asia,Upper middle income,Colombo,79.8528,6.92148
BGR,Bulgaria,Europe & Central Asia,Upper middle income,Sofia,23.3238,42.7105
ROU,Romania,Europe & Central Asia,Upper middle income,Bucharest,26.0979,44.4479
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,Sana'a,44.2075,15.352
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,Bissau,-15.1804,11.8037
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,Dakar,-17.4734,14.7247
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Palikir,158.185,6.91771
GEO,Georgia,Europe & Central Asia,Upper middle income,Tbilisi,44.793,41.71
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,Accra,-0.20795,5.57045
GRL,Greenland,Europe & Central Asia,High income,Nuuk,-51.7214,64.1836
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,Libreville,9.45162,0.38832
TJK,Tajikistan,Europe & Central Asia,Low income,Dushanbe,68.7864,38.5878
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,Guatemala City,-90.5328,14.6248
CYP,Cyprus,Europe & Central Asia,High income,Nicosia,33.3736,35.1676
BEN,Benin,Sub-Saharan Africa ,Low income,Porto-Novo,2.6323,6.4779
LBY,Libya,Middle East & North Africa,Upper middle income,Tripoli,13.1072,32.8578
DZA,Algeria,Middle East & North Africa,Upper middle income,Algiers,3.05097,36.7397
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,Malabo,8.7741,3.7523
MLI,Mali,Sub-Saharan Africa ,Low income,Bamako,-7.50034,13.5667
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Brazzaville,15.2662,-4.2767
URY,Uruguay,Latin America & Caribbean ,High income,Montevideo,-56.0675,-34.8941
FJI,Fiji,East Asia & Pacific,Upper middle income,Suva,178.399,-18.1149
ERI,Eritrea,Sub-Saharan Africa ,Low income,Asmara,38.9183,15.3315
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Belmopan,-88.7713,17.2534
MKD,North Macedonia,Europe & Central Asia,Upper middle income,Skopje,21.4361,42.0024
NAM,Namibia,Sub-Saharan Africa ,Upper middle income,Windhoek,17.0931,-22.5648
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,90.4113,23.7055
NRU,Nauru,East Asia & Pacific,Upper middle income,Yaren District,166.920867,-0.5477
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent,69.269,41.3052
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Ashgabat,58.3794,37.9509
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Funafuti,179.089567,-8.6314877
ABW,Aruba,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167
SRB,Serbia,Europe & Central Asia,Upper middle income,Belgrade,20.4656,44.8024
AUT,Austria,Europe & Central Asia,High income,Vienna,16.3798,48.2201
SVK,Slovak Republic,Europe & Central Asia,High income,Bratislava,17.1073,48.1484
CHE,Switzerland,Europe & Central Asia,High income,Bern,7.44821,46.948
NER,Niger,Sub-Saharan Africa ,Low income,Niamey,2.1073,13.514
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Astana,71.4382,51.1879
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Bishkek,74.6057,42.8851
LSO,Lesotho,Sub-Saharan Africa ,Lower middle income,Maseru,27.7167,-29.5208
EST,Estonia,Europe & Central Asia,High income,Tallinn,24.7586,59.4392
FRO,Faroe Islands,Europe & Central Asia,High income,Torshavn,-6.91181,61.8926
GUM,Guam,East Asia & Pacific,High income,Agana,144.794,13.4443
NZL,New Zealand,East Asia & Pacific,High income,Wellington,174.776,-41.2865
FRA,France,Europe & Central Asia,High income,Paris,2.35097,48.8566
PRT,Portugal,Europe & Central Asia,High income,Lisbon,-9.13552,38.7072
MDA,Moldova,Europe & Central Asia,Lower middle income,Chisinau,28.8497,47.0167
LBN,Lebanon,Middle East & North Africa,Upper middle income,Beirut,35.5134,33.8872
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596
JOR,Jordan,Middle East & North Africa,Upper middle income,Amman,35.9263,31.9497
NLD,Netherlands,Europe & Central Asia,High income,Amsterdam,4.89095,52.3738
BEL,Belgium,Europe & Central Asia,High income,Brussels,4.36761,50.8371
LUX,Luxembourg,Europe & Central Asia,High income,Luxembourg,6.1296,49.61
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317
BRB,Barbados,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935
MCO,Monaco,Europe & Central Asia,High income,Monaco,7.41891,43.7325
SMR,San Marino,Europe & Central Asia,High income,San Marino,12.4486,43.9322
SVN,Slovenia,Europe & Central Asia,High income,Ljubljana,14.5044,46.0546
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,18.4214,43.8607
CZE,Czech Republic,Europe & Central Asia,High income,Prague,14.4205,50.0878
MNE,Montenegro,Europe & Central Asia,Upper middle income,Podgorica,19.2595,42.4602
DNK,Denmark,Europe & Central Asia,High income,Copenhagen,12.5681,55.6763
LIE,Liechtenstein,Europe & Central Asia,High income,Vaduz,9.52148,47.1411
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,,,
KOR,"Korea, Rep.",East Asia & Pacific,High income,Seoul,126.957,37.5323
